issue_id,source_row_number,flight_id,rule_code,quality_dimension,severity,issue_description,workflow_status,owner,resolution_notes
ISS-00047,518,EK04280517,DQ004,Completeness,High,missing airline,Open,,
ISS-00048,555,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00049,562,KL06100561,DQ004,Completeness,High,missing airline,Open,,
ISS-00050,576,IB02250575,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00051,581,BA03120580,DQ010,Validity,High,invalid status,Open,,
ISS-00052,587,BA03080586,DQ005,Validity,High,invalid origin,Open,,
ISS-00053,588,IB01080587,DQ009,Completeness,Medium,actual_time required for non-cancelled flight,Open,,
ISS-00054,605,LH05170604,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00055,622,UA06070621,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00056,640,EK05100639,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00057,641,EK05100639,DQ003,Uniqueness,High,duplicate flight_id,Open,,
ISS-00058,647,IB02130646,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00059,653,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00060,662,AF01060661,DQ010,Validity,High,invalid status,Open,,
ISS-00061,663,IB03190662,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00062,682,BA03110681,DQ005,Validity,High,invalid origin,Open,,
ISS-00063,685,IB03290684,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00064,688,BA02060687,DQ005,Validity,High,invalid origin,Open,,
ISS-00065,726,,DQ001,Completeness,High,missing flight_id,Open,,
ISS-00066,739,AF04290738,DQ007,Consistency,High,origin equals destination,Open,,
ISS-00067,747,BA02130746,DQ010,Validity,High,invalid status,Open,,
ISS-00068,755,DE06180754,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00069,759,DE05060758,DQ008,Validity,High,invalid scheduled_time,Open,,
ISS-00070,781,EK01120780,DQ005,Validity,High,invalid origin,Open,,
ISS-00071,782,DE01130781,DQ011,Validity,High,passengers must be a non-negative integer,Open,,
ISS-00072,792,KL01240791,DQ008,Validity,High,invalid scheduled_time,Open,,
