source_row_number,flight_id,airline,origin,destination,scheduled_time,actual_time,passengers,status,gate,rejection_reason
421,LH01170420,Lufthansa,FRA,JFK,,2026-01-17 12:04:00,108,DELAYED,B03,invalid scheduled_time
429,UA05120428,United Airlines,FRA,FRA,2026-05-12 09:40:00,2026-05-12 10:02:00,184,DELAYED,B03,origin equals destination
433,EK02260432,Emirates,FRA,LHR,2026-02-26 18:50:00,2026-02-26 18:46:00,224,BOARDING,D04,invalid status
455,DE04200454,Condor,FRA,FRA,2026-04-20 13:50:00,2026-04-20 14:16:00,242,DELAYED,Z15,origin equals destination
461,LH06130460,Lufthansa,FRA,HAM,2026-06-13 21:15:00,,25,DELAYED,E02,actual_time required for non-cancelled flight
462,KL01090461,KLM,FRA,FRA,2026-01-09 22:20:00,2026-01-09 22:07:00,55,ON_TIME,A18,origin equals destination
465,UA01020464,,FRA,PMI,2026-01-02 13:40:00,2026-01-02 13:50:00,92,ON_TIME,E02,missing airline
473,LH01110471,British Airways,FRA,ZRH,2026-03-13 17:45:00,2026-03-13 18:02:00,324,DELAYED,C07,duplicate flight_id
488,UA01220487,United Airlines,FR,ZRH,2026-01-22 08:50:00,2026-01-22 09:52:00,172,DELAYED,B03,invalid origin
494,KL03010493,KLM,FRA,PMI,,2026-03-01 06:08:00,138,ON_TIME,C07,invalid scheduled_time
499,IB01090498,Iberia,FR,DXB,2026-01-09 15:35:00,2026-01-09 15:51:00,83,DELAYED,B09,invalid origin
502,IB06240501,Iberia,FRA,MAD,2026-06-24 15:00:00,,117,DELAYED,B09,actual_time required for non-cancelled flight
518,EK04280517,,FRA,JFK,2026-04-28 18:35:00,2026-04-28 18:59:00,135,DELAYED,E02,missing airline
555,,Condor,FRA,HAM,2026-05-30 22:40:00,2026-05-30 22:25:00,67,ON_TIME,A18,missing flight_id
562,KL06100561,,FRA,PMI,2026-06-10 22:45:00,2026-06-11 00:09:00,207,DELAYED,B16,missing airline
576,IB02250575,Iberia,FRA,CDG,2026-02-25 21:50:00,2026-02-25 21:59:00,-19,ON_TIME,D04,passengers must be a non-negative integer
581,BA03120580,British Airways,FRA,HAM,2026-03-12 08:30:00,2026-03-12 09:05:00,107,BOARDING,B03,invalid status
587,BA03080586,British Airways,FR,PMI,2026-03-08 17:10:00,2026-03-08 16:55:00,224,ON_TIME,B16,invalid origin
588,IB01080587,Iberia,FRA,VIE,2026-01-08 08:15:00,,233,DELAYED,Z15,actual_time required for non-cancelled flight
605,LH05170604,Lufthansa,FRA,AMS,2026-05-17 06:15:00,2026-05-17 06:00:00,-18,ON_TIME,C07,passengers must be a non-negative integer
622,UA06070621,United Airlines,FRA,LHR,,2026-06-07 09:36:00,183,DELAYED,D04,invalid scheduled_time
640,EK05100639,Emirates,FRA,FRA,2026-05-10 13:15:00,2026-05-10 13:19:00,131,ON_TIME,D04,origin equals destination
641,EK05100639,Iberia,FRA,HAM,2026-02-10 06:30:00,2026-02-10 06:28:00,277,ON_TIME,B09,duplicate flight_id
647,IB02130646,Iberia,FRA,FRA,2026-02-13 15:45:00,2026-02-13 16:25:00,142,DELAYED,Z15,origin equals destination
653,,Iberia,FRA,HAM,2026-04-14 11:00:00,2026-04-14 11:49:00,55,DELAYED,A12,missing flight_id
662,AF01060661,Air France,FRA,MUC,2026-01-06 13:20:00,2026-01-06 13:15:00,222,BOARDING,D04,invalid status
663,IB03190662,Iberia,FRA,VIE,2026-03-19 09:50:00,2026-03-19 10:16:00,-2,DELAYED,B16,passengers must be a non-negative integer
682,BA03110681,British Airways,FR,BER,2026-03-11 17:10:00,2026-03-11 17:31:00,94,DELAYED,E02,invalid origin
685,IB03290684,Iberia,FRA,MAD,,2026-03-29 11:00:00,151,DELAYED,E02,invalid scheduled_time
688,BA02060687,British Airways,FR,DXB,2026-02-06 12:50:00,2026-02-06 13:11:00,112,DELAYED,A12,invalid origin
726,,Condor,FRA,PMI,2026-05-09 09:20:00,2026-05-09 09:05:00,309,ON_TIME,A12,missing flight_id
739,AF04290738,Air France,FRA,FRA,2026-04-29 11:50:00,2026-04-29 12:36:00,260,DELAYED,Z15,origin equals destination
747,BA02130746,British Airways,FRA,CDG,2026-02-13 22:15:00,2026-02-13 22:24:00,122,BOARDING,A12,invalid status
755,DE06180754,Condor,FRA,VIE,,2026-06-18 21:00:00,57,ON_TIME,B16,invalid scheduled_time
759,DE05060758,Condor,FRA,CDG,,2026-05-06 18:53:00,238,ON_TIME,A12,invalid scheduled_time
781,EK01120780,Emirates,FR,AMS,2026-01-12 22:50:00,2026-01-12 23:15:00,318,DELAYED,Z15,invalid origin
782,DE01130781,Condor,FRA,DXB,2026-01-13 20:15:00,2026-01-13 20:31:00,-20,DELAYED,E02,passengers must be a non-negative integer
792,KL01240791,KLM,FRA,LHR,,2026-01-25 00:42:00,187,DELAYED,B03,invalid scheduled_time
