flight_key,flight_id,airline_key,origin_airport_key,destination_airport_key,date_key,scheduled_time,actual_time,scheduled_hour,route,gate,status,passengers,delay_minutes,delay_band,is_on_time,is_delayed,is_cancelled
35,BA04160038,2,5,6,20260416,2026-04-16 05:40:00,2026-04-16 05:38:00,5,FRA-HAM,B03,ON_TIME,265,0,ON_TIME,True,False,False
36,KL06290039,6,5,6,20260629,2026-06-29 09:10:00,2026-06-29 09:35:00,9,FRA-HAM,B16,DELAYED,290,25,16-30,False,True,False
37,KL02270040,6,5,8,20260227,2026-02-27 05:45:00,2026-02-27 05:46:00,5,FRA-LHR,B09,ON_TIME,90,1,ON_TIME,True,False,False
38,EK05110041,4,5,7,20260511,2026-05-11 18:20:00,2026-05-11 19:22:00,18,FRA-JFK,A05,DELAYED,190,62,61-120,False,True,False
39,DE04220042,3,5,11,20260422,2026-04-22 17:00:00,2026-04-22 17:22:00,17,FRA-PMI,C07,DELAYED,114,22,16-30,False,True,False
40,AF01120043,1,5,3,20260112,2026-01-12 18:30:00,2026-01-12 18:57:00,18,FRA-CDG,B16,DELAYED,155,27,16-30,False,True,False
41,UA06200044,8,5,10,20260620,2026-06-20 16:25:00,2026-06-20 16:10:00,16,FRA-MUC,E02,ON_TIME,208,0,ON_TIME,True,False,False
42,KL04150045,6,5,7,20260415,2026-04-15 16:10:00,2026-04-15 16:09:00,16,FRA-JFK,A18,ON_TIME,249,0,ON_TIME,True,False,False
43,EK03020048,4,5,10,20260302,2026-03-02 14:45:00,2026-03-02 14:34:00,14,FRA-MUC,B03,ON_TIME,78,0,ON_TIME,True,False,False
44,IB01190049,5,5,11,20260119,2026-01-19 20:10:00,2026-01-19 19:55:00,20,FRA-PMI,B03,ON_TIME,259,0,ON_TIME,True,False,False
45,LH03050051,7,5,13,20260305,2026-03-05 09:15:00,2026-03-05 09:00:00,9,FRA-ZRH,D04,ON_TIME,217,0,ON_TIME,True,False,False
46,UA04250052,8,5,13,20260425,2026-04-25 11:15:00,2026-04-25 11:36:00,11,FRA-ZRH,E02,DELAYED,196,21,16-30,False,True,False
47,IB03030053,5,5,7,20260303,2026-03-03 14:15:00,2026-03-03 14:25:00,14,FRA-JFK,A18,ON_TIME,96,10,ON_TIME,True,False,False
48,BA04090054,2,5,8,20260409,2026-04-09 09:45:00,2026-04-09 10:18:00,9,FRA-LHR,C07,DELAYED,293,33,31-60,False,True,False
49,LH04180055,7,5,8,20260418,2026-04-18 18:25:00,2026-04-18 19:28:00,18,FRA-LHR,A05,DELAYED,299,63,61-120,False,True,False
50,EK04100056,4,5,3,20260410,2026-04-10 19:20:00,2026-04-10 19:40:00,19,FRA-CDG,D04,DELAYED,167,20,16-30,False,True,False
51,AF04220057,1,5,3,20260422,2026-04-22 20:30:00,2026-04-22 20:23:00,20,FRA-CDG,A18,ON_TIME,294,0,ON_TIME,True,False,False
52,LH06010058,7,5,9,20260601,2026-06-01 05:35:00,2026-06-01 05:20:00,5,FRA-MAD,A18,ON_TIME,291,0,ON_TIME,True,False,False
53,LH04080059,7,5,3,20260408,2026-04-08 15:45:00,2026-04-08 15:33:00,15,FRA-CDG,B09,ON_TIME,270,0,ON_TIME,True,False,False
54,DE01050060,3,5,12,20260105,2026-01-05 22:30:00,2026-01-05 23:26:00,22,FRA-VIE,A05,DELAYED,90,56,31-60,False,True,False
55,LH02210061,7,5,8,20260221,2026-02-21 06:25:00,2026-02-21 07:04:00,6,FRA-LHR,D04,DELAYED,166,39,31-60,False,True,False
56,KL02120062,6,5,1,20260212,2026-02-12 08:40:00,2026-02-12 09:19:00,8,FRA-AMS,B09,DELAYED,68,39,31-60,False,True,False
57,UA02200063,8,5,9,20260220,2026-02-20 08:25:00,2026-02-20 08:31:00,8,FRA-MAD,Z15,ON_TIME,116,6,ON_TIME,True,False,False
58,LH05170064,7,5,1,20260517,2026-05-17 19:00:00,2026-05-17 19:06:00,19,FRA-AMS,C07,ON_TIME,61,6,ON_TIME,True,False,False
59,IB04210065,5,5,10,20260421,2026-04-21 17:15:00,2026-04-21 17:00:00,17,FRA-MUC,Z15,ON_TIME,193,0,ON_TIME,True,False,False
60,IB04220066,5,5,12,20260422,2026-04-22 14:00:00,2026-04-22 14:29:00,14,FRA-VIE,B09,DELAYED,99,29,16-30,False,True,False
61,IB04290067,5,5,8,20260429,2026-04-29 18:00:00,,18,FRA-LHR,B09,CANCELLED,25,0,CANCELLED,False,False,True
62,EK06020068,4,5,3,20260602,2026-06-02 14:20:00,,14,FRA-CDG,B03,CANCELLED,2,0,CANCELLED,False,False,True
63,UA05230069,8,5,12,20260523,2026-05-23 13:15:00,2026-05-23 13:00:00,13,FRA-VIE,C07,ON_TIME,168,0,ON_TIME,True,False,False
64,IB03200071,5,5,3,20260320,2026-03-20 13:45:00,2026-03-20 14:03:00,13,FRA-CDG,B03,DELAYED,149,18,16-30,False,True,False
65,AF05040072,1,5,4,20260504,2026-05-04 14:25:00,2026-05-04 14:50:00,14,FRA-DXB,A12,DELAYED,199,25,16-30,False,True,False
66,AF02280073,1,5,3,20260228,2026-02-28 16:40:00,2026-02-28 17:42:00,16,FRA-CDG,A18,DELAYED,204,62,61-120,False,True,False
67,IB01040074,5,5,10,20260104,2026-01-04 15:15:00,2026-01-04 15:17:00,15,FRA-MUC,B09,ON_TIME,81,2,ON_TIME,True,False,False
68,IB01170075,5,5,10,20260117,2026-01-17 18:15:00,2026-01-17 18:24:00,18,FRA-MUC,A12,ON_TIME,210,9,ON_TIME,True,False,False
69,AF05230076,1,5,10,20260523,2026-05-23 19:25:00,2026-05-23 19:33:00,19,FRA-MUC,C07,ON_TIME,322,8,ON_TIME,True,False,False
70,IB03180077,5,5,12,20260318,2026-03-18 18:50:00,2026-03-18 20:01:00,18,FRA-VIE,B03,DELAYED,161,71,61-120,False,True,False
71,KL01210078,6,5,7,20260121,2026-01-21 10:45:00,2026-01-21 12:07:00,10,FRA-JFK,D04,DELAYED,264,82,61-120,False,True,False
72,IB01090079,5,5,3,20260109,2026-01-09 12:50:00,2026-01-09 12:56:00,12,FRA-CDG,Z15,ON_TIME,190,6,ON_TIME,True,False,False
73,AF01300080,1,5,9,20260130,2026-01-30 22:45:00,2026-01-30 22:34:00,22,FRA-MAD,A12,ON_TIME,127,0,ON_TIME,True,False,False
74,LH03200081,7,5,6,20260320,2026-03-20 15:15:00,2026-03-20 15:15:00,15,FRA-HAM,E02,ON_TIME,311,0,ON_TIME,True,False,False
75,IB01210082,5,5,12,20260121,2026-01-21 07:10:00,2026-01-21 06:55:00,7,FRA-VIE,A12,ON_TIME,68,0,ON_TIME,True,False,False
76,AF05280083,1,5,7,20260528,2026-05-28 05:50:00,2026-05-28 06:05:00,5,FRA-JFK,B09,ON_TIME,281,15,ON_TIME,True,False,False
77,BA04220084,2,5,11,20260422,2026-04-22 20:35:00,2026-04-22 20:34:00,20,FRA-PMI,A12,ON_TIME,219,0,ON_TIME,True,False,False
78,BA04160085,2,5,1,20260416,2026-04-16 20:50:00,2026-04-16 21:31:00,20,FRA-AMS,B09,DELAYED,216,41,31-60,False,True,False
79,EK04140086,4,5,10,20260414,2026-04-14 21:30:00,2026-04-14 22:08:00,21,FRA-MUC,A05,DELAYED,266,38,31-60,False,True,False
80,AF04030087,1,5,13,20260403,2026-04-03 21:15:00,2026-04-03 21:38:00,21,FRA-ZRH,D04,DELAYED,279,23,16-30,False,True,False
81,DE06110088,3,5,2,20260611,2026-06-11 12:40:00,2026-06-11 15:00:00,12,FRA-BER,B03,DELAYED,102,140,120+,False,True,False
82,DE01310089,3,5,12,20260131,2026-01-31 10:15:00,2026-01-31 10:19:00,10,FRA-VIE,D04,ON_TIME,302,4,ON_TIME,True,False,False
83,AF05220090,1,5,12,20260522,2026-05-22 10:10:00,2026-05-22 11:00:00,10,FRA-VIE,A12,DELAYED,124,50,31-60,False,True,False
84,AF03030093,1,5,4,20260303,2026-03-03 17:45:00,2026-03-03 17:41:00,17,FRA-DXB,C07,ON_TIME,250,0,ON_TIME,True,False,False
85,BA01100094,2,5,12,20260110,2026-01-10 10:20:00,2026-01-10 10:45:00,10,FRA-VIE,D04,DELAYED,106,25,16-30,False,True,False
86,DE04270095,3,5,13,20260427,2026-04-27 05:40:00,2026-04-27 05:46:00,5,FRA-ZRH,B16,ON_TIME,190,6,ON_TIME,True,False,False
87,UA01210096,8,5,7,20260121,2026-01-21 16:20:00,2026-01-21 16:23:00,16,FRA-JFK,E02,ON_TIME,304,3,ON_TIME,True,False,False
88,LH01180097,7,5,11,20260118,2026-01-18 12:50:00,2026-01-18 13:03:00,12,FRA-PMI,D04,ON_TIME,106,13,ON_TIME,True,False,False
89,BA03180098,2,5,4,20260318,2026-03-18 05:30:00,2026-03-18 06:48:00,5,FRA-DXB,C07,DELAYED,246,78,61-120,False,True,False
90,BA05160099,2,5,8,20260516,2026-05-16 19:25:00,2026-05-16 19:45:00,19,FRA-LHR,Z15,DELAYED,250,20,16-30,False,True,False
91,AF05300100,1,5,12,20260530,2026-05-30 09:45:00,2026-05-30 10:12:00,9,FRA-VIE,A05,DELAYED,185,27,16-30,False,True,False
92,IB06230101,5,5,3,20260623,2026-06-23 22:40:00,2026-06-24 00:01:00,22,FRA-CDG,B09,DELAYED,272,81,61-120,False,True,False
93,IB02200102,5,5,3,20260220,2026-02-20 18:15:00,2026-02-20 18:05:00,18,FRA-CDG,Z15,ON_TIME,238,0,ON_TIME,True,False,False
94,KL03170103,6,5,4,20260317,2026-03-17 06:10:00,2026-03-17 05:55:00,6,FRA-DXB,Z15,ON_TIME,80,0,ON_TIME,True,False,False
95,IB02280104,5,5,3,20260228,2026-02-28 16:45:00,2026-02-28 16:44:00,16,FRA-CDG,A12,ON_TIME,125,0,ON_TIME,True,False,False
96,LH04230105,7,5,3,20260423,2026-04-23 07:25:00,2026-04-23 08:15:00,7,FRA-CDG,A18,DELAYED,267,50,31-60,False,True,False
97,AF05190106,1,5,6,20260519,2026-05-19 17:20:00,2026-05-19 18:13:00,17,FRA-HAM,B09,DELAYED,139,53,31-60,False,True,False
98,IB03280107,5,5,3,20260328,2026-03-28 09:15:00,2026-03-28 10:09:00,9,FRA-CDG,E02,DELAYED,258,54,31-60,False,True,False
99,EK04120108,4,5,10,20260412,2026-04-12 05:50:00,2026-04-12 06:52:00,5,FRA-MUC,Z15,DELAYED,189,62,61-120,False,True,False
100,UA04060109,8,5,7,20260406,2026-04-06 08:45:00,2026-04-06 08:30:00,8,FRA-JFK,A12,ON_TIME,168,0,ON_TIME,True,False,False
101,IB03190110,5,5,4,20260319,2026-03-19 18:35:00,2026-03-19 18:20:00,18,FRA-DXB,D04,ON_TIME,210,0,ON_TIME,True,False,False
102,DE03020111,3,5,10,20260302,2026-03-02 22:40:00,2026-03-02 22:25:00,22,FRA-MUC,Z15,ON_TIME,269,0,ON_TIME,True,False,False
103,BA06170112,2,5,9,20260617,2026-06-17 09:15:00,2026-06-17 10:11:00,9,FRA-MAD,A05,DELAYED,198,56,31-60,False,True,False
104,EK04240113,4,5,8,20260424,2026-04-24 19:45:00,2026-04-24 20:29:00,19,FRA-LHR,A05,DELAYED,238,44,31-60,False,True,False
105,UA02180114,8,5,3,20260218,2026-02-18 09:15:00,2026-02-18 09:50:00,9,FRA-CDG,A05,DELAYED,65,35,31-60,False,True,False
106,EK02020115,4,5,8,20260202,2026-02-02 11:35:00,2026-02-02 11:20:00,11,FRA-LHR,B16,ON_TIME,174,0,ON_TIME,True,False,False
107,BA01010116,2,5,11,20260101,2026-01-01 13:40:00,2026-01-01 13:43:00,13,FRA-PMI,A12,ON_TIME,144,3,ON_TIME,True,False,False
108,LH01040117,7,5,6,20260104,2026-01-04 16:45:00,2026-01-04 17:18:00,16,FRA-HAM,E02,DELAYED,270,33,31-60,False,True,False
109,DE01170118,3,5,4,20260117,2026-01-17 21:15:00,2026-01-17 21:31:00,21,FRA-DXB,D04,DELAYED,110,16,16-30,False,True,False
110,AF01120119,1,5,11,20260112,2026-01-12 21:50:00,2026-01-12 22:12:00,21,FRA-PMI,C07,DELAYED,260,22,16-30,False,True,False
111,DE04240120,3,5,12,20260424,2026-04-24 07:35:00,2026-04-24 07:47:00,7,FRA-VIE,B09,ON_TIME,119,12,ON_TIME,True,False,False
112,EK06020121,4,5,9,20260602,2026-06-02 21:50:00,2026-06-02 21:55:00,21,FRA-MAD,C07,ON_TIME,165,5,ON_TIME,True,False,False
113,IB04160122,5,5,8,20260416,2026-04-16 16:15:00,2026-04-16 16:22:00,16,FRA-LHR,C07,ON_TIME,215,7,ON_TIME,True,False,False
114,EK03070123,4,5,7,20260307,2026-03-07 16:40:00,2026-03-07 16:44:00,16,FRA-JFK,A12,ON_TIME,276,4,ON_TIME,True,False,False
115,EK05230124,4,5,6,20260523,2026-05-23 07:25:00,2026-05-23 07:41:00,7,FRA-HAM,C07,DELAYED,117,16,16-30,False,True,False
116,EK04190125,4,5,7,20260419,2026-04-19 06:50:00,2026-04-19 06:45:00,6,FRA-JFK,B03,ON_TIME,301,0,ON_TIME,True,False,False
117,BA06180128,2,5,11,20260618,2026-06-18 17:35:00,2026-06-18 17:29:00,17,FRA-PMI,A12,ON_TIME,70,0,ON_TIME,True,False,False
118,AF04180129,1,5,9,20260418,2026-04-18 20:00:00,2026-04-18 20:06:00,20,FRA-MAD,A05,ON_TIME,98,6,ON_TIME,True,False,False
119,BA06080130,2,5,6,20260608,2026-06-08 06:35:00,2026-06-08 07:09:00,6,FRA-HAM,Z15,DELAYED,303,34,31-60,False,True,False
120,IB03110131,5,5,9,20260311,2026-03-11 12:20:00,2026-03-11 12:16:00,12,FRA-MAD,E02,ON_TIME,304,0,ON_TIME,True,False,False
121,KL02260132,6,5,2,20260226,2026-02-26 18:25:00,2026-02-26 18:47:00,18,FRA-BER,A18,DELAYED,163,22,16-30,False,True,False
122,KL03250133,6,5,3,20260325,2026-03-25 08:30:00,2026-03-25 08:33:00,8,FRA-CDG,E02,ON_TIME,172,3,ON_TIME,True,False,False
123,EK04120134,4,5,10,20260412,2026-04-12 07:10:00,,7,FRA-MUC,Z15,CANCELLED,10,0,CANCELLED,False,False,True
124,UA04140135,8,5,11,20260414,2026-04-14 18:50:00,2026-04-14 19:25:00,18,FRA-PMI,B16,DELAYED,290,35,31-60,False,True,False
125,EK03270137,4,5,8,20260327,2026-03-27 10:35:00,2026-03-27 11:11:00,10,FRA-LHR,B16,DELAYED,233,36,31-60,False,True,False
126,BA01270138,2,5,8,20260127,2026-01-27 09:50:00,2026-01-27 10:23:00,9,FRA-LHR,A18,DELAYED,93,33,31-60,False,True,False
127,IB05250139,5,5,12,20260525,2026-05-25 20:25:00,2026-05-25 21:00:00,20,FRA-VIE,A18,DELAYED,216,35,31-60,False,True,False
128,IB05010140,5,5,10,20260501,2026-05-01 19:50:00,2026-05-01 20:02:00,19,FRA-MUC,E02,ON_TIME,235,12,ON_TIME,True,False,False
129,DE04290141,3,5,3,20260429,2026-04-29 19:30:00,2026-04-29 19:49:00,19,FRA-CDG,Z15,DELAYED,101,19,16-30,False,True,False
130,IB02080143,5,5,13,20260208,2026-02-08 07:15:00,2026-02-08 07:47:00,7,FRA-ZRH,A18,DELAYED,313,32,31-60,False,True,False
131,LH04230144,7,5,8,20260423,2026-04-23 20:20:00,2026-04-23 20:21:00,20,FRA-LHR,B09,ON_TIME,245,1,ON_TIME,True,False,False
132,UA03280145,8,5,9,20260328,2026-03-28 07:00:00,2026-03-28 07:44:00,7,FRA-MAD,B16,DELAYED,131,44,31-60,False,True,False
133,UA04030148,8,5,13,20260403,2026-04-03 06:00:00,2026-04-03 05:45:00,6,FRA-ZRH,D04,ON_TIME,229,0,ON_TIME,True,False,False
134,AF02050149,1,5,8,20260205,2026-02-05 09:35:00,2026-02-05 09:56:00,9,FRA-LHR,A05,DELAYED,324,21,16-30,False,True,False
135,EK02030150,4,5,11,20260203,2026-02-03 17:40:00,2026-02-03 17:26:00,17,FRA-PMI,D04,ON_TIME,139,0,ON_TIME,True,False,False
136,LH04040151,7,5,9,20260404,2026-04-04 13:15:00,2026-04-04 13:30:00,13,FRA-MAD,B09,ON_TIME,177,15,ON_TIME,True,False,False
137,IB04050152,5,5,8,20260405,2026-04-05 20:15:00,2026-04-05 20:00:00,20,FRA-LHR,E02,ON_TIME,312,0,ON_TIME,True,False,False
138,KL02110154,6,5,10,20260211,2026-02-11 14:15:00,2026-02-11 14:32:00,14,FRA-MUC,A12,DELAYED,278,17,16-30,False,True,False
139,AF03310155,1,5,12,20260331,2026-03-31 06:10:00,2026-03-31 06:06:00,6,FRA-VIE,B03,ON_TIME,246,0,ON_TIME,True,False,False
140,LH01260156,7,5,1,20260126,2026-01-26 15:40:00,2026-01-26 15:54:00,15,FRA-AMS,A18,ON_TIME,296,14,ON_TIME,True,False,False
141,IB06070157,5,5,12,20260607,2026-06-07 05:35:00,,5,FRA-VIE,E02,CANCELLED,19,0,CANCELLED,False,False,True
142,UA03150158,8,5,10,20260315,2026-03-15 12:50:00,2026-03-15 13:17:00,12,FRA-MUC,A12,DELAYED,289,27,16-30,False,True,False
143,DE06020159,3,5,12,20260602,2026-06-02 22:30:00,2026-06-02 22:15:00,22,FRA-VIE,Z15,ON_TIME,55,0,ON_TIME,True,False,False
144,EK05270160,4,5,8,20260527,2026-05-27 18:40:00,2026-05-27 18:37:00,18,FRA-LHR,A12,ON_TIME,239,0,ON_TIME,True,False,False
145,LH05010161,7,5,9,20260501,2026-05-01 07:10:00,2026-05-01 07:24:00,7,FRA-MAD,B03,ON_TIME,231,14,ON_TIME,True,False,False
146,DE03270162,3,5,11,20260327,2026-03-27 09:30:00,2026-03-27 09:48:00,9,FRA-PMI,D04,DELAYED,144,18,16-30,False,True,False
147,IB02160163,5,5,7,20260216,2026-02-16 09:35:00,2026-02-16 09:55:00,9,FRA-JFK,A05,DELAYED,157,20,16-30,False,True,False
148,EK05120164,4,5,3,20260512,2026-05-12 18:20:00,2026-05-12 20:39:00,18,FRA-CDG,B09,DELAYED,152,139,120+,False,True,False
149,EK06170165,4,5,2,20260617,2026-06-17 15:50:00,2026-06-17 15:35:00,15,FRA-BER,B16,ON_TIME,252,0,ON_TIME,True,False,False
150,BA06270166,2,5,12,20260627,2026-06-27 21:00:00,2026-06-27 21:51:00,21,FRA-VIE,C07,DELAYED,97,51,31-60,False,True,False
151,DE06040167,3,5,9,20260604,2026-06-04 11:20:00,2026-06-04 11:51:00,11,FRA-MAD,Z15,DELAYED,283,31,31-60,False,True,False
152,UA06260168,8,5,6,20260626,2026-06-26 20:00:00,2026-06-26 20:27:00,20,FRA-HAM,Z15,DELAYED,235,27,16-30,False,True,False
153,UA06130169,8,5,3,20260613,2026-06-13 06:35:00,2026-06-13 06:25:00,6,FRA-CDG,A05,ON_TIME,136,0,ON_TIME,True,False,False
154,UA01090171,8,5,11,20260109,2026-01-09 10:15:00,2026-01-09 10:01:00,10,FRA-PMI,B16,ON_TIME,326,0,ON_TIME,True,False,False
155,UA06160172,8,5,1,20260616,2026-06-16 13:45:00,2026-06-16 15:36:00,13,FRA-AMS,E02,DELAYED,310,111,61-120,False,True,False
156,UA01310173,8,5,13,20260131,2026-01-31 13:50:00,2026-01-31 14:11:00,13,FRA-ZRH,B03,DELAYED,306,21,16-30,False,True,False
157,DE01190174,3,5,6,20260119,2026-01-19 19:40:00,2026-01-19 20:26:00,19,FRA-HAM,B16,DELAYED,99,46,31-60,False,True,False
158,EK01170175,4,5,4,20260117,2026-01-17 23:20:00,2026-01-17 23:30:00,23,FRA-DXB,B16,ON_TIME,144,10,ON_TIME,True,False,False
159,AF02210176,1,5,10,20260221,2026-02-21 09:45:00,2026-02-21 12:07:00,9,FRA-MUC,D04,DELAYED,243,142,120+,False,True,False
160,BA01230177,2,5,11,20260123,2026-01-23 07:50:00,2026-01-23 07:58:00,7,FRA-PMI,Z15,ON_TIME,264,8,ON_TIME,True,False,False
161,DE03230178,3,5,6,20260323,2026-03-23 08:15:00,2026-03-23 08:02:00,8,FRA-HAM,E02,ON_TIME,120,0,ON_TIME,True,False,False
162,BA04210179,2,5,6,20260421,2026-04-21 21:30:00,2026-04-21 21:24:00,21,FRA-HAM,B16,ON_TIME,170,0,ON_TIME,True,False,False
163,KL03060180,6,5,10,20260306,2026-03-06 12:20:00,2026-03-06 12:32:00,12,FRA-MUC,A12,ON_TIME,328,12,ON_TIME,True,False,False
164,BA05290181,2,5,11,20260529,2026-05-29 09:40:00,2026-05-29 09:48:00,9,FRA-PMI,A05,ON_TIME,76,8,ON_TIME,True,False,False
165,DE06140182,3,5,2,20260614,2026-06-14 13:45:00,2026-06-14 13:30:00,13,FRA-BER,D04,ON_TIME,70,0,ON_TIME,True,False,False
166,KL03190183,6,5,7,20260319,2026-03-19 20:45:00,2026-03-19 21:43:00,20,FRA-JFK,D04,DELAYED,135,58,31-60,False,True,False
167,UA04290184,8,5,12,20260429,2026-04-29 12:00:00,2026-04-29 11:55:00,12,FRA-VIE,B16,ON_TIME,218,0,ON_TIME,True,False,False
168,UA04050185,8,5,6,20260405,2026-04-05 22:20:00,2026-04-05 22:35:00,22,FRA-HAM,A12,ON_TIME,127,15,ON_TIME,True,False,False
169,LH04090186,7,5,3,20260409,2026-04-09 18:45:00,2026-04-09 19:11:00,18,FRA-CDG,Z15,DELAYED,222,26,16-30,False,True,False
170,EK02100187,4,5,8,20260210,2026-02-10 21:20:00,2026-02-10 21:54:00,21,FRA-LHR,E02,DELAYED,256,34,31-60,False,True,False
171,LH04210189,7,5,10,20260421,2026-04-21 09:50:00,2026-04-21 10:06:00,9,FRA-MUC,B16,DELAYED,154,16,16-30,False,True,False
172,KL04090190,6,5,10,20260409,2026-04-09 22:15:00,2026-04-09 22:06:00,22,FRA-MUC,A18,ON_TIME,115,0,ON_TIME,True,False,False
173,DE04060191,3,5,9,20260406,2026-04-06 16:20:00,2026-04-06 16:34:00,16,FRA-MAD,A05,ON_TIME,311,14,ON_TIME,True,False,False
174,LH02050192,7,5,2,20260205,2026-02-05 16:15:00,2026-02-05 16:13:00,16,FRA-BER,A18,ON_TIME,318,0,ON_TIME,True,False,False
