flight_date,total_flights,on_time_flights,delayed_flights,cancelled_flights,average_delay_minutes,total_passengers,on_time_rate_pct,delay_rate_pct
2026-03-18,6,3,3,0,31.33,1288,50.0,50.0
2026-03-19,9,5,4,0,16.44,1426,55.56,44.44
2026-03-20,3,1,2,0,13.33,515,33.33,66.67
2026-03-21,2,0,2,0,64.0,390,0.0,100.0
2026-03-22,5,2,3,0,16.6,1147,40.0,60.0
2026-03-23,4,2,2,0,14.25,926,50.0,50.0
2026-03-24,3,1,2,0,22.0,444,33.33,66.67
2026-03-25,4,1,3,0,50.25,687,25.0,75.0
2026-03-26,2,1,1,0,13.5,368,50.0,50.0
2026-03-27,5,3,2,0,13.8,1046,60.0,40.0
2026-03-28,7,2,5,0,31.0,1700,28.57,71.43
2026-03-29,2,2,0,0,5.0,440,100.0,0.0
2026-03-30,4,1,1,2,7.75,328,25.0,25.0
2026-03-31,3,3,0,0,1.67,587,100.0,0.0
2026-04-02,3,1,2,0,22.67,592,33.33,66.67
2026-04-03,3,2,1,0,8.0,803,66.67,33.33
2026-04-04,4,2,2,0,30.5,637,50.0,50.0
2026-04-05,5,3,1,1,6.8,862,60.0,20.0
2026-04-06,7,5,2,0,28.14,1414,71.43,28.57
2026-04-07,1,1,0,0,8.0,102,100.0,0.0
2026-04-08,5,4,1,0,8.6,882,80.0,20.0
2026-04-09,8,3,5,0,26.62,1726,37.5,62.5
2026-04-10,5,3,2,0,10.2,956,60.0,40.0
2026-04-11,3,2,1,0,12.33,387,66.67,33.33
2026-04-12,6,3,2,1,16.5,1166,50.0,33.33
2026-04-13,4,2,2,0,27.75,549,50.0,50.0
2026-04-14,4,1,3,0,28.5,943,25.0,75.0
2026-04-15,3,3,0,0,0.0,640,100.0,0.0
2026-04-16,9,3,5,1,24.56,1578,33.33,55.56
2026-04-17,4,3,1,0,7.5,491,75.0,25.0
2026-04-18,4,1,3,0,32.0,808,25.0,75.0
2026-04-19,6,5,1,0,8.17,1374,83.33,16.67
2026-04-20,6,2,4,0,27.33,1019,33.33,66.67
2026-04-21,4,2,2,0,9.25,834,50.0,50.0
2026-04-22,10,5,5,0,17.3,1918,50.0,50.0
2026-04-23,5,2,3,0,22.8,1152,40.0,60.0
2026-04-24,5,2,2,1,20.4,871,40.0,40.0
2026-04-25,3,0,3,0,36.0,601,0.0,100.0
2026-04-26,4,3,1,0,8.0,703,75.0,25.0
2026-04-27,3,2,1,0,11.0,798,66.67,33.33
2026-04-28,1,0,1,0,38.0,240,0.0,100.0
2026-04-29,6,1,4,1,36.33,800,16.67,66.67
2026-04-30,3,2,1,0,20.33,677,66.67,33.33
2026-05-01,3,2,0,1,8.67,486,66.67,0.0
2026-05-02,5,1,3,1,18.2,936,20.0,60.0
2026-05-03,4,2,2,0,35.0,923,50.0,50.0
2026-05-04,3,2,1,0,10.67,714,66.67,33.33
2026-05-06,7,2,4,1,33.43,953,28.57,57.14
2026-05-07,1,0,1,0,19.0,303,0.0,100.0
2026-05-08,2,1,1,0,11.5,516,50.0,50.0
2026-05-09,4,1,3,0,19.5,1244,25.0,75.0
2026-05-10,2,2,0,0,0.0,331,100.0,0.0
2026-05-11,4,2,2,0,21.25,845,50.0,50.0
2026-05-12,3,1,1,1,46.33,382,33.33,33.33
2026-05-13,3,2,1,0,11.67,503,66.67,33.33
2026-05-14,5,2,3,0,50.2,940,40.0,60.0
2026-05-15,7,6,1,0,10.0,1633,85.71,14.29
2026-05-16,4,1,3,0,20.25,865,25.0,75.0
2026-05-17,4,1,2,1,10.25,318,25.0,50.0
2026-05-18,3,2,1,0,13.67,572,66.67,33.33
2026-05-19,4,1,3,0,41.25,847,25.0,75.0
2026-05-20,3,1,2,0,24.33,495,33.33,66.67
2026-05-21,3,1,2,0,25.0,727,33.33,66.67
2026-05-22,2,0,2,0,46.0,259,0.0,100.0
2026-05-23,8,3,5,0,48.75,1353,37.5,62.5
2026-05-24,1,0,1,0,46.0,259,0.0,100.0
2026-05-25,6,3,3,0,42.5,1108,50.0,50.0
2026-05-26,5,3,2,0,15.8,952,60.0,40.0
2026-05-27,4,2,2,0,26.75,838,50.0,50.0
2026-05-28,4,2,2,0,34.5,706,50.0,50.0
2026-05-29,4,2,1,1,15.25,505,50.0,25.0
2026-05-30,3,1,2,0,19.0,703,33.33,66.67
2026-05-31,1,1,0,0,0.0,258,100.0,0.0
2026-06-01,3,2,1,0,7.0,610,66.67,33.33
2026-06-02,8,3,4,1,16.0,1362,37.5,50.0
2026-06-04,3,2,1,0,13.0,911,66.67,33.33
2026-06-05,1,0,1,0,21.0,95,0.0,100.0
2026-06-06,4,2,2,0,42.75,888,50.0,50.0
2026-06-07,4,2,1,1,6.25,432,50.0,25.0
2026-06-08,5,2,3,0,26.0,977,40.0,60.0
2026-06-09,3,1,2,0,56.33,593,33.33,66.67
2026-06-10,3,0,3,0,36.0,288,0.0,100.0
2026-06-11,3,0,2,1,58.33,326,0.0,66.67
2026-06-12,5,3,2,0,29.0,861,60.0,40.0
2026-06-13,4,2,2,0,27.0,686,50.0,50.0
2026-06-14,5,3,2,0,13.6,830,60.0,40.0
2026-06-15,3,0,3,0,35.67,670,0.0,100.0
2026-06-16,4,3,1,0,27.75,1003,75.0,25.0
2026-06-17,3,2,1,0,18.67,732,66.67,33.33
2026-06-18,7,4,3,0,12.57,874,57.14,42.86
2026-06-19,7,5,2,0,20.43,1153,71.43,28.57
2026-06-20,5,3,1,1,6.8,992,60.0,20.0
2026-06-21,4,2,1,1,13.0,432,50.0,25.0
2026-06-22,3,1,1,1,9.0,453,33.33,33.33
2026-06-23,3,0,3,0,46.67,565,0.0,100.0
2026-06-24,1,1,0,0,0.0,194,100.0,0.0
2026-06-25,2,0,2,0,83.5,339,0.0,100.0
2026-06-26,5,1,3,1,21.2,811,20.0,60.0
2026-06-27,5,1,4,0,65.0,819,20.0,80.0
2026-06-28,5,2,3,0,46.8,946,40.0,60.0
2026-06-29,3,1,2,0,23.0,578,33.33,66.67
